participant,Alarm_clock,Blender_in_use,Brushing_hair,Chopping,Clapping,Coughing,Drill in use,Drinking,Grating,Hair_dryer_in_use,Hammering,Knocking,Laughing,Microwave,Pouring_pitcher,Sanding,Scratching,Screwing,Shaver_in_use,Toilet_flushing,Toothbrushing,Twisting_jar,Vacuum in use,Washing_Utensils,Washing_hands,Wiping_with_rag,Other,Total,NonOtherTotal,Other
7,683,476,517,486,478,536,181,209,483,575,471,198,600,677,246,484,489,349,508,263,538,116,563,487,533,555,1812,13513,11701,1812
17,696,496,505,482,471,306,103,200,493,520,508,149,583,569,268,493,426,508,526,212,519,133,577,480,504,674,1272,12673,11401,1272
23,725,488,479,493,455,334,245,157,459,500,470,237,444,633,195,458,472,514,503,202,499,101,536,482,501,539,854,11975,11121,854
25,624,474,505,466,426,223,81,183,470,482,466,131,376,751,315,483,416,266,457,112,481,195,474,468,502,560,1295,11682,10387,1295
37,539,296,362,333,304,275,125,76,330,353,323,108,345,632,169,339,310,346,376,121,430,60,400,370,324,352,866,8864,7998,866
41,500,419,487,486,405,264,159,245,448,528,387,147,421,656,421,450,411,482,499,162,449,127,634,534,421,522,1438,12102,10664,1438
43,563,446,499,474,459,339,455,269,468,507,462,96,341,598,302,451,445,933,504,184,514,117,474,528,522,517,890,12357,11467,890
45,554,472,531,473,455,273,235,132,521,540,496,144,411,591,287,507,412,521,529,163,507,109,540,469,496,503,1236,12107,10871,1236
47,524,404,521,471,417,258,151,165,475,505,481,197,385,662,383,503,424,400,486,147,508,217,617,459,454,517,1443,12174,10731,1443
49,540,483,545,531,411,220,132,155,497,476,456,161,299,711,171,482,445,372,476,139,503,64,3,489,490,551,1574,11376,9802,1574
51,471,462,486,454,394,232,234,226,418,509,444,204,287,609,138,454,385,440,517,126,522,98,555,494,466,519,1367,11511,10144,1367
53,537,490,532,484,464,287,162,140,497,585,473,183,305,501,243,465,472,332,500,164,491,114,521,493,491,507,923,11356,10433,923
55,706,476,536,500,466,276,98,119,495,494,471,109,303,559,167,479,473,286,487,142,493,60,534,481,502,521,938,11171,10233,938
58,536,478,501,510,469,311,135,154,477,524,488,156,266,573,374,470,475,269,503,168,510,101,569,492,523,580,1282,11894,10612,1282
103,557,450,530,446,415,256,148,382,436,636,420,114,425,748,437,513,417,543,551,579,658,305,673,638,549,672,1114,13612,12498,1114
105,0,203,316,187,0,0,0,0,210,319,0,0,0,604,209,0,0,0,320,219,307,161,0,240,320,221,412,4248,3836,412
201,485,347,432,416,307,221,341,291,367,351,323,85,253,1168,424,407,330,664,381,253,371,113,602,342,414,436,1061,11185,10124,1061
203,501,322,376,308,310,260,261,301,395,392,357,130,257,649,243,319,304,513,374,170,375,205,502,385,366,441,1324,10340,9016,1324
205,486,333,307,462,289,253,150,289,359,384,364,122,275,1517,434,340,299,489,406,254,441,194,470,550,470,488,1175,11600,10425,1175
207,456,306,3,300,282,243,88,299,296,336,319,98,361,1016,466,325,308,733,365,245,351,223,447,307,361,441,958,9933,8975,958
