file,participant,context,label,trial,audio_key_for_duration,audio_duration_s,imu_duration_s_at_50hz,has_1khz_audio
103---All---Other---1.pkl,103,All,Other,1,1kHz_Audio,20.104,20.72,True
103---All---Other---2.pkl,103,All,Other,2,1kHz_Audio,20.027,20.54,True
103---All---Other---3.pkl,103,All,Other,3,1kHz_Audio,20.259,20.82,True
103---Bathroom---Brushing_hair---1.pkl,103,Bathroom,Brushing_hair,1,Audio,18.695,19.36,False
103---Bathroom---Brushing_hair---2.pkl,103,Bathroom,Brushing_hair,2,Audio,17.15,17.76,False
103---Bathroom---Brushing_hair---3.pkl,103,Bathroom,Brushing_hair,3,Audio,18.097,18.74,False
103---Bathroom---Hair_dryer_in_use---1.pkl,103,Bathroom,Hair_dryer_in_use,1,Audio,18.734,19.4,False
103---Bathroom---Hair_dryer_in_use---2.pkl,103,Bathroom,Hair_dryer_in_use,2,Audio,20.833,21.56,False
103---Bathroom---Hair_dryer_in_use---3.pkl,103,Bathroom,Hair_dryer_in_use,3,Audio,24.566,25.44,False
103---Bathroom---Shaver_in_use---1.pkl,103,Bathroom,Shaver_in_use,1,Audio,18.174,18.82,False
103---Bathroom---Shaver_in_use---2.pkl,103,Bathroom,Shaver_in_use,2,Audio,18.637,19.3,False
103---Bathroom---Shaver_in_use---3.pkl,103,Bathroom,Shaver_in_use,3,Audio,19.023,19.7,False
103---Bathroom---Toilet_flushing---1.pkl,103,Bathroom,Toilet_flushing,1,Audio,18.888,19.56,False
103---Bathroom---Toilet_flushing---2.pkl,103,Bathroom,Toilet_flushing,2,Audio,19.236,19.74,False
103---Bathroom---Toilet_flushing---3.pkl,103,Bathroom,Toilet_flushing,3,Audio,20.665,21.4,False
103---Bathroom---Toothbrushing---1.pkl,103,Bathroom,Toothbrushing,1,Audio,20.956,21.7,False
103---Bathroom---Toothbrushing---2.pkl,103,Bathroom,Toothbrushing,2,Audio,20.395,21.12,False
103---Bathroom---Toothbrushing---3.pkl,103,Bathroom,Toothbrushing,3,Audio,24.856,25.74,False
103---Bathroom---Washing_hands---1.pkl,103,Bathroom,Washing_hands,1,Audio,18.232,18.88,False
103---Bathroom---Washing_hands---2.pkl,103,Bathroom,Washing_hands,2,Audio,17.401,18.02,False
103---Bathroom---Washing_hands---3.pkl,103,Bathroom,Washing_hands,3,Audio,20.105,20.82,False
103---Kitchen---Blender_in_use---1.pkl,103,Kitchen,Blender_in_use,1,Audio,16.107,16.68,False
103---Kitchen---Blender_in_use---2.pkl,103,Kitchen,Blender_in_use,2,Audio,15.045,15.58,False
103---Kitchen---Blender_in_use---3.pkl,103,Kitchen,Blender_in_use,3,Audio,15.315,15.68,False
103---Kitchen---Chopping---1.pkl,103,Kitchen,Chopping,1,Audio,16.746,17.34,False
103---Kitchen---Chopping---2.pkl,103,Kitchen,Chopping,2,Audio,13.114,13.58,False
103---Kitchen---Chopping---3.pkl,103,Kitchen,Chopping,3,Audio,15.933,16.5,False
103---Kitchen---Grating---1.pkl,103,Kitchen,Grating,1,Audio,14.177,14.68,False
103---Kitchen---Grating---2.pkl,103,Kitchen,Grating,2,Audio,15.798,16.36,False
103---Kitchen---Grating---3.pkl,103,Kitchen,Grating,3,Audio,14.891,15.42,False
103---Kitchen---Microwave---1.pkl,103,Kitchen,Microwave,1,Audio,24.878,25.76,False
103---Kitchen---Microwave---2.pkl,103,Kitchen,Microwave,2,Audio,26.402,27.22,False
103---Kitchen---Microwave---3.pkl,103,Kitchen,Microwave,3,Audio,23.833,24.66,False
103---Kitchen---Pouring_pitcher---1.pkl,103,Kitchen,Pouring_pitcher,1,Audio,15.064,15.6,False
103---Kitchen---Pouring_pitcher---2.pkl,103,Kitchen,Pouring_pitcher,2,Audio,15.759,16.24,False
103---Kitchen---Pouring_pitcher---3.pkl,103,Kitchen,Pouring_pitcher,3,Audio,14.196,14.68,False
103---Kitchen---Twisting_jar---1.pkl,103,Kitchen,Twisting_jar,1,Audio,11.781,12.2,False
103---Kitchen---Twisting_jar---2.pkl,103,Kitchen,Twisting_jar,2,Audio,11.608,12.02,False
103---Kitchen---Twisting_jar---3.pkl,103,Kitchen,Twisting_jar,3,Audio,8.71,9.02,False
103---Kitchen---Washing_Utensils---1.pkl,103,Kitchen,Washing_Utensils,1,Audio,15.875,16.44,False
103---Kitchen---Washing_Utensils---2.pkl,103,Kitchen,Washing_Utensils,2,Audio,31.751,32.88,False
103---Kitchen---Washing_Utensils---3.pkl,103,Kitchen,Washing_Utensils,3,Audio,16.784,17.38,False
103---Kitchen---Wiping_with_rag---1.pkl,103,Kitchen,Wiping_with_rag,1,Audio,23.872,24.72,False
103---Kitchen---Wiping_with_rag---2.pkl,103,Kitchen,Wiping_with_rag,2,Audio,22.191,22.98,False
103---Kitchen---Wiping_with_rag---3.pkl,103,Kitchen,Wiping_with_rag,3,Audio,21.573,22.34,False
103---Misc---Alarm_clock---1.pkl,103,Misc,Alarm_clock,1,Audio,17.073,17.62,False
103---Misc---Alarm_clock---2.pkl,103,Misc,Alarm_clock,2,Audio,20.047,20.6,False
103---Misc---Alarm_clock---3.pkl,103,Misc,Alarm_clock,3,Audio,19.603,20.26,False
103---Misc---Clapping---1.pkl,103,Misc,Clapping,1,Audio,13.655,14.14,False
103---Misc---Clapping---2.pkl,103,Misc,Clapping,2,Audio,14.793,15.32,False
103---Misc---Clapping---3.pkl,103,Misc,Clapping,3,Audio,14.331,14.84,False
103---Misc---Coughing---1.pkl,103,Misc,Coughing,1,Audio,4.558,4.72,False
103---Misc---Coughing---2.pkl,103,Misc,Coughing,2,Audio,9.753,10.1,False
103---Misc---Coughing---3.pkl,103,Misc,Coughing,3,Audio,13.114,13.58,False
103---Misc---Drinking---1.pkl,103,Misc,Drinking,1,Audio,11.375,11.74,False
103---Misc---Drinking---2.pkl,103,Misc,Drinking,2,Audio,14.002,14.48,False
103---Misc---Drinking---3.pkl,103,Misc,Drinking,3,Audio,14.465,14.86,False
103---Misc---Knocking---1.pkl,103,Misc,Knocking,1,Audio,4.693,4.86,False
103---Misc---Knocking---2.pkl,103,Misc,Knocking,2,Audio,4.462,4.62,False
103---Misc---Knocking---3.pkl,103,Misc,Knocking,3,Audio,4.596,4.76,False
103---Misc---Laughing---1.pkl,103,Misc,Laughing,1,Audio,15.025,15.56,False
103---Misc---Laughing---2.pkl,103,Misc,Laughing,2,Audio,13.751,14.24,False
103---Misc---Laughing---3.pkl,103,Misc,Laughing,3,Audio,15.064,15.58,False
103---Misc---Scratching---1.pkl,103,Misc,Scratching,1,Audio,15.778,16.34,False
103---Misc---Scratching---2.pkl,103,Misc,Scratching,2,Audio,13.017,13.48,False
103---Misc---Scratching---3.pkl,103,Misc,Scratching,3,Audio,14.195,14.7,False
103---Other---Other---12.pkl,103,Other,Other,12,1kHz_Audio,5.832,5.98,True
103---Other---Other---21.pkl,103,Other,Other,21,1kHz_Audio,7.706,7.98,True
103---Other---Other---72.pkl,103,Other,Other,72,1kHz_Audio,39.671,41.08,True
103---Workshop---Drill in use---1.pkl,103,Workshop,Drill in use,1,Audio,5.851,6.06,False
103---Workshop---Drill in use---2.pkl,103,Workshop,Drill in use,2,Audio,4.229,4.38,False
103---Workshop---Drill in use---3.pkl,103,Workshop,Drill in use,3,Audio,7.011,7.26,False
103---Workshop---Hammering---1.pkl,103,Workshop,Hammering,1,Audio,12.824,13.28,False
103---Workshop---Hammering---2.pkl,103,Workshop,Hammering,2,Audio,15.373,15.92,False
103---Workshop---Hammering---3.pkl,103,Workshop,Hammering,3,Audio,15.122,15.66,False
103---Workshop---Sanding---1.pkl,103,Workshop,Sanding,1,Audio,16.3,16.88,False
103---Workshop---Sanding---2.pkl,103,Workshop,Sanding,2,Audio,21.225,21.98,False
103---Workshop---Sanding---3.pkl,103,Workshop,Sanding,3,Audio,14.852,15.38,False
103---Workshop---Screwing---1.pkl,103,Workshop,Screwing,1,Audio,21.264,22.02,False
103---Workshop---Screwing---2.pkl,103,Workshop,Screwing,2,Audio,15.875,16.44,False
103---Workshop---Screwing---3.pkl,103,Workshop,Screwing,3,Audio,17.961,18.6,False
103---Workshop---Vacuum in use---1.pkl,103,Workshop,Vacuum in use,1,Audio,28.274,29.28,False
103---Workshop---Vacuum in use---2.pkl,103,Workshop,Vacuum in use,2,Audio,20.317,21.04,False
103---Workshop---Vacuum in use---3.pkl,103,Workshop,Vacuum in use,3,Audio,19.198,19.88,False
105---Bathroom---Brushing_hair---1.pkl,105,Bathroom,Brushing_hair,1,Audio,10.663,11.04,False
105---Bathroom---Brushing_hair---2.pkl,105,Bathroom,Brushing_hair,2,Audio,11.203,11.6,False
105---Bathroom---Brushing_hair---3.pkl,105,Bathroom,Brushing_hair,3,Audio,11.319,11.72,False
